Exercise,Exercise Description,Question,Question Text,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6
1,"A specific geographical area has a population of 1 million, 5% belong to a certain ethnic group. A group of 100 people is selected at random for a survey.",1,"The probability that there are at least 7 persons from the ethnic group in the sample is","1 - Φ(√(2/19))","1 - Φ(√(3/18))","1/12","1 - sum_{i=0}^6 binom{100}{i}(0.05)^i(0.95)^{100-i}","1 - sum_{i=0}^6 (e^{-5}5^i/i!)","Do not know"
2,"Consider a polar coordinate system with a bombing target at the origin. A bomber throws a bomb hitting a distance R from the origin with the density fR(r) = re^{-(1/2)r^2}. The probability that the target will be destroyed is e^{−r^2} if the bomb hits at a distance r from the origin.",2,"What is the probability that the bombing target will be destroyed?","1/4","1/3","1/2","2/3","3/4","Do not know"
3,"A swimming club has 18 swimmers. Two of those are backstroke specialists, 7 are crawl specialists, 5 are butterfly specialists, and 4 are medley specialists. Four swimmers are selected randomly for a relay event.",3,"The probability that there are exactly two butterfly specialists among the four is","binom{4}{2}*5/18*13/18","5/18*4/17","2*5/18*4/17","(5 choose 2)(13 choose 2)/(18 choose 4)","5/18*4/18","Do not know"
4,"A material emits particles, such that the time between particle emissions can be described by independent exponentially distributed random variables with a mean of 2 minutes.",4,"The probability that the third particle is emitted exactly between the third and fourth minute after the start of registration is","(e^{-3/2} - e^{-2})^3/2","29/8 e^{-3/2} - 5e^{-2}","4/3 e^{-2} - 9/16 e^{-3/2}","Φ(2)^3 - Φ(1)^3","(Φ(2) - Φ(1))^3","Do not know"
5,"Let X1 and X2 be two independent exponential random variables. Then X = min(X1, X2) and Y = max(X1, X2) with joint density f(x, y) = 2λ^2 e^{-λ(x+y)}.",5,"The density fZ(z) of Z = X/Y is","2/(z+1)^2 for 0≤z≤1","λ e^{-λz}, 0≤z","(1/√(2πλ))exp(-1/2(z-1/√λ)^2), 0≤z≤1","1 for 0≤z≤1","1/(z+1)^2 for 0≤z","Do not know"
6,"For the events A and B it is known that P(A ∩ B) = P(A)P(B).",6,"Which of the following statements is correct","P(A∪B) = P(A) + P(B)","P(A|B) = P(A∩B)","P(A|B) = P(A)","P(A|B) = P(B|A)","None of the above are correct.","Do not know"
7,"The discrete uniformly distributed random variable X takes one of the values {−2, −1, 1, 2}. A new random variable is formed by Y = X^2.",7,"The covariance Cov(X, Y ) between X and Y is",-1,0,1/2,1,"The covariance can not be determined based on the information given","Do not know"
8,"It is known, that 20% of the airline passengers on a specific route brings carry on luggage with weight substantially higher than allowed. Each passenger independently has the same probability.",8,"On a departure with 400 passengers, give a good judgement of the probability that at most 60 passengers have excessive carry on luggage.","binom{400}{60}(1/5)^60 (4/5)^340","sum_{i=61}^{400} 80^i/i!*e^{-80}","sum_{i=0}^{60}(80 choose i)(320 choose 100-i)/(400 choose 100)","Φ(2.2) - Φ(-1.96)","Φ(-2.4)","Do not know"
9,"The pair (X, Y ) is standard bivariate normally distributed with correlation ρ = 3/5.",9,"The probability P(1/2X < Y < 2X) is","(2π-Arctan(7/4))/(2π)","1/6","Arctan(15/8)/(2π)","[Arctan(7/4)+Arctan(1/8)]/(2π)","[Arctan(7/8)+Arctan(1/8)]/π","Do not know"
10,"You have Xi ∼ exp(λ), i = 1, 2, 3 independent. One defines Y = X1 + X2 + X3.",10,"The joint density f(x, y) of X1 and Y is","λe^{-λx}λ(λy)e^{-λy}=λ^3y e^{-λ(x+y)}","λe^{-λx}λ(λy)^2/2 e^{-λy}=λ^4 y^2/2 e^{-λ(x+y)}","λe^{-λx}λ(λ(y-x))e^{-λ(y-x)}=λ^3(y-x)e^{-λy}","λe^{-λx}λ(λ(y-x))^2/2 e^{-λy}=λ^4(y-x)^2/2 e^{-λy}","λ(λy)^2/2 e^{-λy}*1/3 = λ^3 y^2/6 e^{-λy}","Do not know"
11,"It is assumed that cardiac arrest patients arrive at an emergency department independently of each other with an average frequency of 24 per day. Assume frequency is constant.",11,"The probability that at most 2 cardiac arrest patients arrive during a 4 hour period is","binom{12}{2}*2*binom{24}{4}","(5/6)^2 + 2*(5/6)*(1/6)","sum_{i=0}^2 binom{4}{i} (1/16)","Φ(-1)","(1+4+4^2/2!)*e^{-4}","Do not know"
12,"Let X and Y be two independent random variables, with E(X) = µX, E(Y ) = µY, Var(X) = σ_X^2 and Var(Y) = σ_Y^2.",12,"You find","Var(XY)=σ_X^2σ_Y^2+μ_X^2σ_Y^2+μ_Y^2σ_X^2-μ_X^2μ_Y^2","Var(XY)=σ_X^2σ_Y^2","Var(XY)=σ_X^2σ_Y^2-μ_X^2μ_Y^2","Var(XY)=σ_X^2σ_Y^2+μ_X^2σ_Y^2+μ_Y^2σ_X^2","Var(XY)=σ_X^2σ_Y^2+μ_X^2μ_Y^2","Do not know"
13,"Given the density f(x, y) = 6(x−y) for the joint distribution of maximum (X) and minimum (Y) of 3 independent uniform(0, 1) distributed random variables.",13,"The probability for observing a maximum between 0.9 and 0.91 along with a minimum between 0.1 and 0.11 is","6*0.8*0.012","∫0^0.1 ∫0^0.9 6(x-y)dxdy","0.48","6(0.91-0.10)-6(0.9-0.11)","6(0.9-0.1)","Do not know"
14,"A random variable X is uniformly distributed on the interval from −1/2 to 1/2. A new random variable is formed as Y = X^2 with density fY(y).",14,"The density fY(y) is","fY(y)=1/(2√|y|) for y∈[0,1/4], 0 elsewhere","fY(y)=1/√|y| for y∈[0,1/4], 0 elsewhere","fY(y)=1/(2√|y|) for y∈[-1/4,1/4], 0 elsewhere","fY(y)=1/√|y| for y∈[-1/4,1/4], 0 elsewhere","fY(y)=4 for y∈[0,1/4]","Do not know"
15,"The pair of random variables (X, Y) follows a bivariate normal distribution with X ∼ normal(1, 4), Y ∼ normal(2, 9) and correlation coefficient ρ = -1/4.",15,"The probability P(X − Y ≤ 0) is","Φ(√(1/13))","Φ(1/3)","Φ(√(1/12))","Φ(1/4)","Φ(√(1/2))","Do not know"
